Bak Chang | Glutinous Rice (1.50) | Pork (1.50) | Mushrooms (0.70) | Salt (0.20)
Bak Chor Mee | Noodles (1.00) | Minced Pork (1.50) | Vinegar (0.30) | Pork Fat (0.80)
Bak Kut Teh | Pork Ribs (2.50) | Herbs (0.80) | Garlic (0.30) | Soy Sauce (0.50)
Beef Rendang | Beef (3.50) | Coconut Milk (1.00) | Spices (0.70) | Herbs (0.50)
Beef Satay | Beef (3.00) | Peanut Sauce (0.70) | Onion (0.50) | Rice Cakes (0.50)
Black Bean Spare Ribs | Pork Ribs (3.00) | Black Bean (0.80) | Garlic (0.30) | Soy Sauce (0.50)
Black Pepper Beef | Beef (3.00) | Black Pepper (0.50) | Onions (0.60) | Garlic (0.30)
Black Pepper Squid | Squid (3.00) | Black Pepper (0.50) | Onion (0.50) | Garlic (0.30)
Braised Abalone Rice | Abalone (4.50) | Rice (0.80) | Mushroom (0.70) | Garlic (0.30)
Braised Duck Rice | Duck (3.00) | Rice (0.80) | Soy Sauce (0.50) | Vegetables (0.70)
Braised Eggplant | Eggplant (1.50) | Soy Sauce (0.50) | Garlic (0.30) | Chilli (0.50)
Braised Tofu | Tofu (1.00) | Mushrooms (0.70) | Soy Sauce (0.50) | Garlic (0.30)
Carrot Cake | Rice Flour Cake (1.20) | Preserved Radish (0.50) | Chilli (0.30) | Bean Sprouts (0.40)
Char Kway Teow | Flat Rice Noodles (1.50) | Prawns (2.50) | Chinese Sausage (1.00) | Bean Sprouts (0.40)
Char Siew Rice | Char Siew (2.50) | Rice (0.80) | Barbecue Sauce (0.70)
Chicken Rice | Chicken (2.50) | Rice (0.80) | Sambal Chilli (0.50)
Chicken Satay | Chicken (2.00) | Peanut Sauce (0.70) | Cucumber (0.40) | Rice Cakes (0.50)
Chili Crab | Crab (4.00) | Chilli (0.50) | Tomato Sauce (1.00) | Egg (0.80)
Chilli Prawns | Prawns (2.50) | Chilli (0.50) | Garlic (0.30) | Lemon (0.30)
Claypot Chicken Rice | Chicken (2.00) | Rice (0.80) | Mushroom (0.70) | Chinese Sausage (1.00)
Claypot Rice | Rice (0.80) | Chicken (2.00) | Chinese Sausage (1.00) | Mushroom (0.70)
Crispy Fried Chicken Wings | Chicken Wings (2.00) | Flour (0.50) | Spices (0.40) | Oil (0.70)
Curry Beef Brisket | Beef Brisket (3.50) | Curry (1.00) | Potato (0.50) | Vegetables (0.70)
Curry Chicken Rice | Chicken (2.00) | Curry (1.00) | Rice (0.80) | Vegetables (0.70)
Curry Laksa | Rice Noodles (1.20) | Chicken (2.00) | Laksa Broth (2.00) | Bean Sprouts (0.40)
Curry Puff | Curry (0.70) | Potato (0.50) | Chicken (1.50) | Pastry (0.80)
